取引日,入出金(円),取引後残高(円),入出金内容
20260321,45,1802823,デビットカ－ド利用（5-19件）ボ－ナス金利利息
20260321,40,1802863,デビットカ－ド利用（20件以上）ボ－ナス金利利息
20260321,-2950,1799913,VISAデビット A0340656
20260321,-3960,1795953,VISAデビット A0961738
20260321,-4980,1790973,VISAデビット A0295837
20260321,-660,1790313,VISAデビット A0733888
20260322,-1779,1788534,VISAデビット A0947052
20260323,-29,1788505,VISAデビット B0947052
20260325,-3868,1784637,VISAデビット A0760566
20260327,-22054,1762583,ラクテンカ－ト゛サ－ヒ゛ス
20260327,-4010,1758573,VISAデビット A0711872
20260328,-500,1758073,VISAデビット B0985352
20260328,-2683,1755390,VISAデビット B0995352
20260329,-14139,1741251,VISAデビット A0480735
20260330,-231,1741020,VISAデビット B0480735
20260331,1615,1742635,預金利息
20260404,-1558,1741077,VISAデビット A0966144
20260408,-660,1740417,VISAデビット A0053332
20260409,-697,1739720,VISAデビット A0750036
20260416,-971,1738749,VISAデビット A0681360
20260417,-15,1738734,VISAデビット B0681360
20260417,-2257,1736477,VISAデビット B0946959
20260419,-1780,1734697,VISAデビット A0160486
20260421,255266,1989963,給与　フクシマケン　キユウヨ
20260421,-9240,1980723,VISAデビット A0417058
20260421,-29,1980694,VISAデビット B0160486
20260423,-900,1979794,VISAデビット A0332403
20260426,-3000,1976794,VISAデビット A0553713
20260426,-2148,1974646,VISAデビット A0191795
20260426,-3157,1971489,VISAデビット A0569823
20260426,-1468,1970021,VISAデビット A0098937
20260426,-2000,1968021,VISAデビット A0763016
20260426,-562,1967459,VISAデビット A0544163
20260426,-15971,1951488,VISAデビット A0258159
20260426,-125,1951363,VISAデビット A0993159
20260426,125,1951488,VISAデビット A0993159
20260427,-32054,1919434,ラクテンカ－ト゛サ－ヒ゛ス
20260429,-1133,1918301,VISAデビット A0779368
20260429,-40000,1878301,カ－ド出金　セブン銀行003401001132369
20260429,-1098,1877203,VISAデビット A0457717
20260430,-11819,1865384,VISAデビット A0938889
20260430,-18,1865366,VISAデビット B0779368
20260430,-500,1864866,VISAデビット B0667125
20260430,-2636,1862230,VISAデビット B0677125
20260502,-533,1861697,VISAデビット A0863507
20260503,-600,1861097,VISAデビット A0684850
20260503,-500,1860597,VISAデビット B0622116
20260503,-1819,1858778,VISAデビット B0632116
20260504,-520,1858258,VISAデビット A0755365
20260504,-2000,1856258,VISAデビット A0559462
20260504,-1750,1854508,VISAデビット A0630466
20260504,-450,1854058,VISAデビット A0868594
20260504,-356,1853702,VISAデビット A0336617
20260506,-473,1853229,VISAデビット A0336658
20260508,-660,1852569,VISAデビット A0946514
20260508,-500,1852069,VISAデビット B0724525
20260508,-2871,1849198,VISAデビット B0734525
20260509,-5490,1843708,VISAデビット A0844035
20260509,-510,1843198,VISAデビット A0336134
20260509,-1050,1842148,VISAデビット A0113264
20260509,-3600,1838548,VISAデビット A0501395
20260509,-40,1838508,VISAデビット A0591395
20260511,-1150,1837358,VISAデビット A0362107
20260511,-459400,1377958,ラクテンショウケンカブシキガイシャ （国内株式買付代金）
20260512,261625,1639583,ラクテンショウケンカブシキガイシャ （自動スイ－プ）
20260513,-2926,1636657,VISAデビット B0062285
20260516,-967,1635690,VISAデビット A0728613
20260517,-15,1635675,VISAデビット B0728613
20260518,-10830,1624845,VISAデビット A0451875
20260521,282570,1907415,給与　フクシマケン　キユウヨ
20260521,-2000,1905415,VISAデビット A0963310
20260521,-1868,1903547,VISAデビット A0644320
20260522,-59000,1844547,カ－ド出金　セブン銀行003401001115738
20260522,-10000,1834547,VISAデビット A0986831
20260522,-2836,1831711,VISAデビット B0553813
20260522,-1000,1830711,VISAデビット A0075940
20260522,-1430,1829281,VISAデビット A0954977
20260522,-750,1828531,VISAデビット A0955057
20260522,-24040,1804491,VISAデビット A0740078
20260523,-10000,1794491,VISAデビット A0289500
20260523,-3024,1791467,VISAデビット A0749574
20260525,-2841,1788626,VISAデビット B0377459
20260526,-73830,1714796,VISAデビット A0330209
20260527,-32054,1682742,ラクテンカ－ト゛サ－ヒ゛ス
20260527,-3000,1679742,VISAデビット A0910614
20260529,-580,1679162,VISAデビット A0175546
20260529,-804,1678358,VISAデビット A0472802
20260602,795,1679153,ラクテンショウケンカブシキガイシャ （自動スイ－プ）
20260602,-127,1679026,VISAデビット A0615867
20260603,-595,1678431,VISAデビット A0072269
20260603,-15630,1662801,ラクテンショウケンカブシキガイシャ （投資信託買付代金）
20260604,-10,1662791,VISAデビット B0072269
20260604,73830,1736621,VISAデビット A0330209
20260606,-3415,1733206,VISAデビット B0923841
20260606,-1900,1731306,VISAデビット A0034993
20260606,-6034,1725272,VISAデビット A0716111
20260607,-19954,1705318,ラクテンショウケンカブシキガイシャ （投資信託買付代金）
20260608,-660,1704658,VISAデビット A0381802
20260608,-30000,1674658,ラクテンショウケンカブシキガイシャ （投資信託買付代金）
